ID,DateTimeStart,What,Where,Trig,Duration,S-P (s),FirstStation,RecordedOn,ROD__,FPS,TimeRef,M,Conf,Comments,,,,,,,,,,,,,,,,,,,,,
20050804-0928,2005-08-04 09:28:00.0,Tremor,,,2h,,,"MBLG,MBLY,MBRY",,,,,,Not mentioned in MVO report to SAC. Ash venting in Webobs database (time not agree),,,,,,,,,,,,,,,,,,,,,
20061013-0626,,LP/Rockfall,,,,,,,y,,,,,,,,,,,,,,,,,,,,,,,,,,
20070630-0508,2007-06-30 05:08:45.9,Local,,Y,,11.3,MBHA,All,y,,,,,Has low-frequency arrival between P and S on vertical at some stations.,,,,,,,,,,,,,,,,,,,,,
20081116-0300,2008-11-16 03:00:38.4,Distal rockfall,St Georges Hill,,25s,,MBGH,"MBGH,MBGB,MBRY,MBLY",y,,,,,,,,,,,,,,,,,,,,,,,,,,
20081130-1906,2008-11-30 19:06:12.2,Tilt event,,,,,MBGH,MBGH ,y,,,,,Seen on MBGH horizontals,,,,,,,,,,,,,,,,,,,,,
20100205-1023,2010-02-05 10:23:45.6,LP,,,,,MBLG,All,y,,,,,,,,,,,,,,,,,,,,,,,,,,
20100213,,LP,,,,,,,,,,,,OR sea swell,,,,,,,,,,,,,,,,,,,,,
20120323-1537,2012-03-23 15:27:16.1,Infrasound,,N,40s,,MBFL,"MBFL,MBLG,MBRY,MBWH,MBBY,MBGH,MBLY,MBHA",,,,,,About 5 hours after venting. Very low frequency. Not seen on other EDF sensors,,,,,,,,,,,,,,,,,,,,,
20120820-0218,,LP,,,,,,,y,,,,,HF signal at start,,,,,,,,,,,,,,,,,,,,,
20120824-2316,,LP,,,,,,,y,,,,,,,,,,,,,,,,,,,,,,,,,,
20120828-2355,,LP,,,,,,,y,,,,,,,,,,,,,,,,,,,,,,,,,,
20140828-1605,2014-08-28 16:06:06.8,Rockfall,,Y,25s,,MSS1,All,y,,,,,,,,,,,,,,,,,,,,,,,,,,
20140917-0311,2014-09-17 03:11:22.5,Rockfall,,Y,40s,,MSS1,All,y,,,,,,,,,,,,,,,,,,,,,,,,,,
,2014-11-12 05:56:02.0,VT,,,,,,,y,,,,,,,,,,,,,,,,,,,,,,,,,,
,2014-11-12 05:56:27.0,VT,,,,,,,y,,,,,,,,,,,,,,,,,,,,,,,,,,
,2014-11-12 05:56:46.0,VT,,,,,,,y,,,,,,,,,,,,,,,,,,,,,,,,,,
,2014-11-12 05:57:22.0,VT,,,,,,,y,,,,,,,,,,,,,,,,,,,,,,,,,,
,2014-11-12 05:57:53.0,VT,,,,,,,y,,,,,,,,,,,,,,,,,,,,,,,,,,
,2014-11-12 05:58:03.0,VT,,,,,,,y,,,,,,,,,,,,,,,,,,,,,,,,,,
,2014-11-12 05:59:03.0,VT,,,,,,,y,,,,,,,,,,,,,,,,,,,,,,,,,,
,2014-11-12 05:59:34.0,VT,,,,,,,y,,,,,,,,,,,,,,,,,,,,,,,,,,
20141203-0226,,Rockfall,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2015-08-12 17:00:00.0,Distal VT,,,,,,close,,,,,,or rf?,,,,,,,,,,,,,,,,,,,,,
20160625-0159,2016-06-25 01:59:38.2,Explosion,,Y,,,MSS1,All,y,,,,,Originally classified as rockfall. Infrasound signal seen,,,,,,,,,,,,,,,,,,,,,
20160828-1254,2016-08-28 12:54:00.0,Rockfall,,Y,60s,,,All,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2017-07-21 02:48:00.0,,,,,,,All,,,,,,VT string or rockfall?,,,,,,,,,,,,,,,,,,,,,
20180131-2226,2018-01-31 22:26:10.5,Explosion,,Y,,,MBLY,All,y,,,,,Infrasound signal seen. Ashfall downwind.,,,,,,,,,,,,,,,,,,,,,
20190512-1929,,Teleseism,,,,,,,,,,,,Mistakenly classed as LP,,,,,,,,,,,,,,,,,,,,,
,2019-09-22 03:30:00.0,Cont signal with rockfall in it?,,,60m,,,MSS1,,,,,,prob lahar - LP signal at MBGB,,,,,,,,,,,,,,,,,,,,,
,2019-09-23 21:00:00.0,Cont signal with rockfall in it?,,,60m,,,MSS1,,,,,,prob lahar - LP signal at MBGB,,,,,,,,,,,,,,,,,,,,,
20200103-0342,2020-01-03 03:42:23.8,Local,Puerto Rico,Y,,,,All,y,,,4.7,,"Depth 2km, dist 506km (4.6 deg). Nice T phase",,,,,,,,,,,,,,,,,,,,,
20200123-1529,2020-01-23 15:29:00.0,Rockfalls,,,,,,,,,,,,"2 periods of rockfalls, longer than usual for scar rockfalls",,,,,,,,,,,,,,,,,,,,,
20200130-0700,2020-01-30 07:00:30.2,Rockfall,,Y,30s,,MSS1,Most,y,,,,,,,,,,,,,,,,,,,,,,,,,,
20200130-1308,2020-01-30 13:08:12.1,Rockfall ,,Y,60s,,MSS1,Most,y,,,,,Largest rockfall for a while,,,,,,,,,,,,,,,,,,,,,
,2020-02-15 15:11:00.0,Rockfall/tremor/lahar,,,68m,,,,,,,,,Probably a small localised lahar,,,,,,,,,,,,,,,,,,,,,
,2020-03-22 08:15:00.0,Lahar,,,35m,,,MSS1,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2020-03-22 14:30:00.0,Lahar,,,100m,,,MSS1,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2020-03-23 00:00:00.0,Rockfall,,,,,,,,,,,,"extended, multiple falls",,,,,,,,,,,,,,,,,,,,,
,2020-03-23 23:15:00.0,Lahar,,,30m,,,MSS1,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2020-03-24 00:08:00.0,Lahar/rockfall,,,25m,,,MSS1,,,,,,"small extended signal, could be rockfalls",,,,,,,,,,,,,,,,,,,,,
